순번,국립공원,사무소,관리지구,탐방지역,일자,전체 탐방객수
278,설악산,설악산,설악동,설악동 야영장,2018.1.24,3
279,설악산,설악산,설악동,설악동 탐방안내소,2018.1.24,0
280,설악산,설악산,오색지구,남설악,2018.1.24,2
281,설악산,설악산,오색지구,약수터입구,2018.1.24,9
282,설악산,설악산,오색지구,용소폭포,2018.1.24,0
283,설악산,설악산,오색지구,흘림골,2018.1.24,0
284,설악산,설악산,장수대지구,장수대,2018.1.24,0
285,설악산,설악산,장수대지구,한계령,2018.1.24,3
286,설악산,설악산,백담지구,남교리,2018.1.24,0
287,설악산,설악산,백담지구,백담,2018.1.24,14
288,설악산,설악산,점봉산,점봉산(곰배령),2018.1.24,10
289,설악산,설악산,설악동,설악동,2018.1.25,1884
290,설악산,설악산,설악동,설악동 야영장,2018.1.25,3
291,설악산,설악산,설악동,설악동 탐방안내소,2018.1.25,0
292,설악산,설악산,오색지구,남설악,2018.1.25,2
293,설악산,설악산,오색지구,약수터입구,2018.1.25,26
294,설악산,설악산,오색지구,용소폭포,2018.1.25,1
295,설악산,설악산,오색지구,흘림골,2018.1.25,0
296,설악산,설악산,장수대지구,장수대,2018.1.25,0
297,설악산,설악산,장수대지구,한계령,2018.1.25,4
298,설악산,설악산,백담지구,남교리,2018.1.25,2
299,설악산,설악산,백담지구,백담,2018.1.25,13
300,설악산,설악산,점봉산,점봉산(곰배령),2018.1.25,12
301,설악산,설악산,설악동,설악동,2018.1.26,2336
302,설악산,설악산,설악동,설악동 야영장,2018.1.26,0
303,설악산,설악산,설악동,설악동 탐방안내소,2018.1.26,0
304,설악산,설악산,오색지구,남설악,2018.1.26,20
305,설악산,설악산,오색지구,약수터입구,2018.1.26,72
306,설악산,설악산,오색지구,용소폭포,2018.1.26,1
307,설악산,설악산,오색지구,흘림골,2018.1.26,0
308,설악산,설악산,장수대지구,장수대,2018.1.26,0
309,설악산,설악산,장수대지구,한계령,2018.1.26,62
310,설악산,설악산,백담지구,남교리,2018.1.26,0
311,설악산,설악산,백담지구,백담,2018.1.26,16
312,설악산,설악산,점봉산,점봉산(곰배령),2018.1.26,4
313,설악산,설악산,설악동,설악동,2018.1.27,6041
314,설악산,설악산,설악동,설악동 야영장,2018.1.27,0
315,설악산,설악산,설악동,설악동 탐방안내소,2018.1.27,0
316,설악산,설악산,오색지구,남설악,2018.1.27,88
317,설악산,설악산,오색지구,약수터입구,2018.1.27,200
318,설악산,설악산,오색지구,용소폭포,2018.1.27,70
319,설악산,설악산,오색지구,흘림골,2018.1.27,0
320,설악산,설악산,장수대지구,장수대,2018.1.27,5
321,설악산,설악산,장수대지구,한계령,2018.1.27,109
